text,category,priority,sentiment
garbage not collected. Location: main road. kabhi kabhi hota hai. Ye kya ho raha hai.,Garbage,Low,Negative
Complaint: There is a problem: washroom is very dirty in the washroom. occasionally. Very disappointed.,Cleanliness,Low,Negative
"Dear admin, There is a problem: cold food served in the dining area. many students affected. Frustrated with this.",Mess/Food,High,Negative
"Dear admin, Boys Hostel me no drinking water, fire. This is unacceptable.",Water Supply,Critical,Negative
"To whom it may concern, hostel bathroom me shower head broken, please look into it. Bahut buri service hai.",Plumbing,Medium,Negative
"To whom it may concern, parking is chaotic at parking lot, please look into it. Ye kya ho raha hai.",Parking,Medium,Negative
waste dumped near hostel. Location: hostel back side. few hours. Please look into it.,Garbage,Medium,Neutral
"Dear admin, office me printer paper jam, today morning. Frustrated with this.",Computer/Hardware,Medium,Negative
"bike is stolen from parking at main gate, just a suggestion. This is unacceptable.",Security/Safety,Low,Negative
"Hello, notice board me results not published, since 4 days. This is unacceptable.",Academic Issue,High,Negative
"classroom me wifi not working, kindly resolve. Otherwise things are good, just fix this.",Internet/Wifi,Medium,Positive
"Sir, misc issue at campus, since last week. Thanks.",Other,High,Neutral
"staff toilet me sewage smell, medical emergency. This is unacceptable.",Plumbing,Critical,Negative
"waste dumped near hostel at main road, since yesterday. Ye kya ho raha hai.",Garbage,Medium,Negative
"Sir, electric socket sparking. Location: study hall. many students affected. This is unacceptable.",Electricity,High,Negative
"campus gate me college bus is always late, since 3 days. Bahut buri service hai.",Transport,High,Negative
"Hello, computer is not turning on. Location: computer lab. occasionally. Very disappointed.",Computer/Hardware,Low,Negative
"To whom it may concern, There is a problem: faculty is rude in the class 3B. emergency. Bahut buri service hai.",Faculty Issue,Critical,Negative
"classroom me wifi disconnects every 5 minutes, assault. Ye kya ho raha hai.",Internet/Wifi,Critical,Negative
"Hello, There is a problem: power cut in the auditorium. fire. Frustrated with this.",Electricity,Critical,Negative
bus did not come today. Location: bus stop. just a suggestion. Bahut buri service hai.,Transport,Low,Negative
"Hello, There is a problem: verbal abuse from staff in the hostel corridor. no response yet. Bahut buri service hai.",Harassment,High,Negative
"To whom it may concern, waste dumped near hostel at hostel back side, fire. This is unacceptable.",Garbage,Critical,Negative
Complaint: cctv not working. Location: library. still not fixed. Thanks.,Security/Safety,High,Neutral
"Hello, current fluctuation is damaging appliances. Location: auditorium. please look into it. Very disappointed.",Electricity,Medium,Negative
"no electricity at Library, kabhi kabhi hota hai. Very disappointed.",Electricity,Low,Negative
"someone blocked my vehicle at parking lot, since 3 days. Kindly resolve at earliest.",Parking,High,Neutral
"Hello, bulb is fused. Location: Library. no response yet. Frustrated with this.",Electricity,High,Negative
"Sir, There is a problem: sewage smell in the staff toilet. few hours. Bahut buri service hai.",Plumbing,Medium,Negative
"room lock broken at hostel room 202, kindly resolve. Very disappointed.",Hostel Room,Medium,Negative
"To whom it may concern, There is a problem: bike is stolen from parking in the hostel gate. since 4 days. Ye kya ho raha hai.",Security/Safety,High,Negative
"Sir, There is a problem: results not published in the portal. since yesterday. Ye kya ho raha hai.",Academic Issue,Medium,Negative
"To whom it may concern, no parking space. Location: parking lot. for 2 days. Awaiting your response.",Parking,High,Neutral
"Dear admin, bus stop me college bus is always late, few hours. Bahut buri service hai.",Transport,Medium,Negative
"To whom it may concern, Room 101 me fan not working, occasionally. Very disappointed.",Electricity,Low,Negative
"To whom it may concern, There is a problem: no electricity in the auditorium. kabhi kabhi hota hai. Thanks in advance.",Electricity,Low,Positive
"To whom it may concern, general complaint. Location: campus. minor issue. Appreciate quick action.",Other,Low,Positive
"To whom it may concern, There is a problem: bed sheet not changed in the warden office. kabhi kabhi hota hai. This is unacceptable.",Hostel Room,Low,Negative
"Sir, hostel back side me dustbin overflowing, today morning. Appreciate quick action.",Garbage,Medium,Positive
Complaint: There is a problem: fan not working in the mess hall. please look into it. This is unacceptable.,Electricity,Medium,Negative
"Dear admin, toilet is clogged. Location: staff toilet. just a suggestion. Kindly resolve at earliest.",Plumbing,Low,Neutral
"Complaint: notice board me syllabus not covered before exam, occasionally. Frustrated with this.",Academic Issue,Low,Negative
internet is very slow. Location: computer lab. emergency. Very disappointed.,Internet/Wifi,Critical,Negative
"Dear admin, garbage not collected. Location: main road. few hours. Very disappointed.",Garbage,Medium,Negative
"Hello, Room 305 me no drinking water, please look into it. Kindly resolve at earliest.",Water Supply,Medium,Neutral
Complaint: broken bed. Location: warden office. few hours. Please look into it.,Hostel Room,Medium,Neutral
"Hello, monitor is blank at computer lab, kindly resolve. Awaiting your response.",Computer/Hardware,Medium,Neutral
"Hello, computer is not turning on at admin block, just a suggestion. Kindly resolve at earliest.",Computer/Hardware,Low,Neutral
"Dear admin, There is a problem: professor not clearing doubts in the department. since 4 days. Please look into it.",Faculty Issue,High,Neutral
"Hello, canteen me khana ekdum tasteless hai, since 4 days. Ye kya ho raha hai.",Mess/Food,High,Negative
"To whom it may concern, flush not working. Location: staff toilet. few hours. Thanks.",Plumbing,Medium,Neutral
"Dear admin, certificate not issued at admin block, still not fixed. Kindly resolve at earliest.",Administrative,High,Neutral
"To whom it may concern, certificate not issued. Location: registrar office. for 2 days. Please look into it.",Administrative,High,Neutral
"To whom it may concern, verbal abuse from staff at hostel corridor, immediately. Bahut buri service hai.",Harassment,Critical,Negative
"Complaint: wifi not working at library, kindly resolve. Very disappointed.",Internet/Wifi,Medium,Negative
"Sir, washroom me room not cleaned for days, occasionally. Please look into it.",Cleanliness,Low,Neutral
"library me internet is very slow, minor issue. Very disappointed.",Internet/Wifi,Low,Negative
"lecture is too fast at department, since last week. Kindly resolve at earliest.",Faculty Issue,High,Neutral
"Dear admin, There is a problem: college bus is always late in the route 5. please look into it. This is unacceptable.",Transport,Medium,Negative
"Hello, attendance shortage marked wrongly. Location: academic office. few hours. Frustrated with this.",Academic Issue,Medium,Negative
"To whom it may concern, roommate issue at hostel room 202, few hours. This is unacceptable.",Hostel Room,Medium,Negative
"Hello, college bus is always late at route 5, since yesterday. Ye kya ho raha hai.",Transport,Medium,Negative
"To whom it may concern, There is a problem: exam schedule clash in the academic office. for 2 days. Bahut buri service hai.",Academic Issue,High,Negative
"To whom it may concern, keyboard keys not working at admin block, since yesterday. Thanks.",Computer/Hardware,Medium,Neutral
"To whom it may concern, parking is chaotic at faculty parking, many students affected. Ye kya ho raha hai.",Parking,High,Negative
"Dear admin, ground floor washroom me flush not working, medical emergency. Very disappointed.",Plumbing,Critical,Negative
"Complaint: auditorium me no power in whole floor, minor issue. Ye kya ho raha hai.",Electricity,Low,Negative
"Sir, fan not working. Location: Room 101. few hours. Very disappointed.",Electricity,Medium,Negative
There is a problem: bed sheet not changed in the warden office. kabhi kabhi hota hai. Very disappointed.,Hostel Room,Low,Negative
"Hello, verbal abuse from staff at hostel corridor, few hours. Ye kya ho raha hai.",Harassment,Medium,Negative
"To whom it may concern, monitor is blank at office, kindly resolve. Very disappointed.",Computer/Hardware,Medium,Negative
very low water pressure. Location: Hostel Block C. just a suggestion. Very disappointed.,Water Supply,Low,Negative
"To whom it may concern, power cut. Location: Lab 2. few hours. Bahut buri service hai.",Electricity,Medium,Negative
garbage not collected. Location: hostel back side. for 2 days. This is unacceptable.,Garbage,High,Negative
"Hello, bus did not come today at bus stop, please look into it. Thanks in advance.",Transport,Medium,Positive
Complaint: There is a problem: no parking space in the parking lot. since yesterday. Appreciate quick action.,Parking,Medium,Positive
"Hello, There is a problem: corridor is filthy in the washroom. since yesterday. Bahut buri service hai.",Cleanliness,Medium,Negative
"Sir, corridor me room not cleaned for days, please look into it. Very disappointed.",Cleanliness,Medium,Negative
Complaint: There is a problem: college bus is always late in the route 5. kindly resolve. Frustrated with this.,Transport,Medium,Negative
"Dear admin, broken bed. Location: block C. today morning. Very disappointed.",Hostel Room,Medium,Negative
"someone blocked my vehicle at faculty parking, today morning. Ye kya ho raha hai.",Parking,Medium,Negative
"To whom it may concern, room lock broken at hostel room 202, since yesterday. Kindly resolve at earliest.",Hostel Room,Medium,Neutral
"no parking space at parking lot, still not fixed. Kindly resolve at earliest.",Parking,High,Neutral
Complaint: There is a problem: faculty is rude in the department. today morning. Frustrated with this.,Faculty Issue,Medium,Negative
"Sir, parking is chaotic. Location: faculty parking. today morning. Ye kya ho raha hai.",Parking,Medium,Negative
"Complaint: notice board me syllabus not covered before exam, assault. Thanks in advance.",Academic Issue,Critical,Positive
"Hello, khana ekdum tasteless hai. Location: canteen. medical emergency. Very disappointed.",Mess/Food,Critical,Negative
Complaint: bijli nahi hai. Location: study hall. no response yet. Bahut buri service hai.,Electricity,High,Negative
"Hello, parking lot me no guard at gate at night, no response yet. Ye kya ho raha hai.",Security/Safety,High,Negative
Complaint: There is a problem: fee receipt not generated in the registrar office. occasionally. Thanks.,Administrative,Low,Neutral
"Dear admin, flush not working at staff toilet, occasionally. Awaiting your response.",Plumbing,Low,Neutral
There is a problem: wallet stolen from library in the library. minor issue. Bahut buri service hai.,Security/Safety,Low,Negative
"attendance shortage marked wrongly at academic office, kindly resolve. Very disappointed.",Academic Issue,Medium,Negative
"Hello, There is a problem: attendance shortage marked wrongly in the academic office. few hours. Frustrated with this.",Academic Issue,Medium,Negative
"Complaint: There is a problem: someone blocked my vehicle in the parking lot. please look into it. Otherwise things are good, just fix this.",Parking,Medium,Positive
"To whom it may concern, campus me general complaint, please look into it. Appreciate quick action.",Other,Medium,Positive
"Dear admin, campus me misc issue, no response yet. Thanks.",Other,High,Neutral
Complaint: harassment in hostel. Location: hostel corridor. please look into it. Ye kya ho raha hai.,Harassment,Medium,Negative
"Hello, There is a problem: flush not working in the staff toilet. occasionally. Ye kya ho raha hai.",Plumbing,Low,Negative
"Sir, results not published. Location: academic office. for 2 days. Frustrated with this.",Academic Issue,High,Negative
"ground floor me room not cleaned for days, since yesterday. Awaiting your response.",Cleanliness,Medium,Neutral
"Sir, Girls Hostel me no water supply, just a suggestion. This is unacceptable.",Water Supply,Low,Negative
"To whom it may concern, parking is chaotic at faculty parking, kindly resolve. This is unacceptable.",Parking,Medium,Negative
"Dear admin, no parking space. Location: faculty parking. please look into it. Kindly resolve at earliest.",Parking,Medium,Neutral
"Hello, harassment in hostel at sports ground, someone is injured. Thanks.",Harassment,Critical,Neutral
"To whom it may concern, roommate issue at hostel room 202, please look into it. This is unacceptable.",Hostel Room,Medium,Negative
"Dear admin, There is a problem: office staff not responding in the admin block. since yesterday. Please look into it.",Administrative,Medium,Neutral
"Sir, no electricity at auditorium, still not fixed. Ye kya ho raha hai.",Electricity,High,Negative
"To whom it may concern, There is a problem: toilet is clogged in the staff toilet. since 4 days. Thanks in advance.",Plumbing,High,Positive
"To whom it may concern, bijli nahi hai at auditorium, kindly resolve. This is unacceptable.",Electricity,Medium,Negative
"teacher not coming to class regularly at class 3B, small problem. Very disappointed.",Faculty Issue,Low,Negative
"To whom it may concern, suggestion for improvement at campus, minor issue. Kindly resolve at earliest.",Other,Low,Neutral
"Dear admin, There is a problem: computer is not turning on in the admin block. minor issue. Please look into it.",Computer/Hardware,Low,Neutral
"To whom it may concern, office staff not responding at admin block, since 3 days. Kindly resolve at earliest.",Administrative,High,Neutral
"Sir, faculty parking me no parking space, small problem. Very disappointed.",Parking,Low,Negative
There is a problem: shower head broken in the ground floor washroom. many students affected. Thanks.,Plumbing,High,Neutral
"पानी नहीं आ रहा at washrooms on 2nd floor, kindly resolve. Ye kya ho raha hai.",Water Supply,Medium,Negative
wrong marks in result. Location: portal. since yesterday. Bahut buri service hai.,Academic Issue,Medium,Negative
"Hello, There is a problem: bus driver is rude in the campus gate. since yesterday. Please look into it.",Transport,Medium,Neutral
"Dear admin, room not cleaned for days. Location: washroom. since 4 days. This is unacceptable.",Cleanliness,High,Negative
"Complaint: faculty parking me no parking space, please look into it. Very disappointed.",Parking,Medium,Negative
wallet stolen from library. Location: parking lot. minor issue. Thanks in advance.,Security/Safety,Low,Positive
Complaint: college bus is always late. Location: route 5. since yesterday. Very disappointed.,Transport,Medium,Negative
Complaint: There is a problem: suggestion for improvement in the college. few hours. Awaiting your response.,Other,Medium,Neutral
"Sir, general complaint. Location: college. occasionally. This is unacceptable.",Other,Low,Negative
"campus me misc issue, since yesterday. This is unacceptable.",Other,Medium,Negative
"Sir, bullying in class at hostel corridor, please look into it. Frustrated with this.",Harassment,Medium,Negative
"To whom it may concern, faculty is rude. Location: lecture hall. please look into it. Bahut buri service hai.",Faculty Issue,Medium,Negative
"Dear admin, There is a problem: washroom is very dirty in the ground floor. few hours. This is unacceptable.",Cleanliness,Medium,Negative
"To whom it may concern, There is a problem: water supply cut off in the Girls Hostel. since yesterday. Very disappointed.",Water Supply,Medium,Negative
"Hello, cobwebs everywhere. Location: washroom. since 3 days. Ye kya ho raha hai.",Cleanliness,High,Negative
"Hello, water not coming at Hostel Block B, few hours. Otherwise things are good, just fix this.",Water Supply,Medium,Positive
office staff not responding. Location: registrar office. occasionally. Kindly resolve at earliest.,Administrative,Low,Neutral
"Dear admin, printer paper jam at office, please look into it. Kindly resolve at earliest.",Computer/Hardware,Medium,Neutral
"Sir, There is a problem: no guard at gate at night in the parking lot. please look into it. Very disappointed.",Security/Safety,Medium,Negative
"To whom it may concern, khana ekdum tasteless hai. Location: dining area. for 2 days. This is unacceptable.",Mess/Food,High,Negative
"Dear admin, washroom me room not cleaned for days, kindly resolve. Kindly resolve at earliest.",Cleanliness,Medium,Neutral
"Dear admin, no electricity. Location: Hostel Block D. medical emergency. Very disappointed.",Electricity,Critical,Negative
college bus is always late. Location: campus gate. few hours. Appreciate quick action.,Transport,Medium,Positive
"faculty room me printer paper jam, kindly resolve. This is unacceptable.",Computer/Hardware,Medium,Negative
"shower head broken at staff toilet, small problem. Please look into it.",Plumbing,Low,Neutral
"To whom it may concern, teacher not coming to class regularly at department, still not fixed. Bahut buri service hai.",Faculty Issue,High,Negative
Complaint: parking is chaotic. Location: faculty parking. for 2 days. Frustrated with this.,Parking,High,Negative
"Hello, canteen me cold food served, few hours. Ye kya ho raha hai.",Mess/Food,Medium,Negative
"Sir, There is a problem: college bus is always late in the campus gate. today morning. Bahut buri service hai.",Transport,Medium,Negative
"Hello, There is a problem: teacher not coming to class regularly in the lecture hall. kindly resolve. Please look into it.",Faculty Issue,Medium,Neutral
"To whom it may concern, harassment in hostel at hostel corridor, danger to life. This is unacceptable.",Harassment,Critical,Negative
There is a problem: suggestion for improvement in the college. since yesterday. Thanks.,Other,Medium,Neutral
"Hello, faculty parking me parking is chaotic, minor issue. Very disappointed.",Parking,Low,Negative
"Hello, warden not responding. Location: warden office. since 4 days. Please look into it.",Hostel Room,High,Neutral
There is a problem: teacher not coming to class regularly in the class 3B. many students affected. Please look into it.,Faculty Issue,High,Neutral
"Complaint: library me cctv not working, kindly resolve. Very disappointed.",Security/Safety,Medium,Negative
bus did not come today. Location: campus gate. for 2 days. Ye kya ho raha hai.,Transport,High,Negative
"To whom it may concern, There is a problem: parking is chaotic in the faculty parking. today morning. Frustrated with this.",Parking,Medium,Negative
"To whom it may concern, dining area me mess timing is wrong, fire. Bahut buri service hai.",Mess/Food,Critical,Negative
"Sir, There is a problem: bed sheet not changed in the warden office. few hours. Bahut buri service hai.",Hostel Room,Medium,Negative
Complaint: There is a problem: room lock broken in the warden office. just a suggestion. Ye kya ho raha hai.,Hostel Room,Low,Negative
"Sir, There is a problem: washbasin is leaking in the ground floor washroom. for 2 days. Bahut buri service hai.",Plumbing,High,Negative
"To whom it may concern, canteen area me waste dumped near hostel, please look into it. Frustrated with this.",Garbage,Medium,Negative
"Dear admin, There is a problem: wallet stolen from library in the hostel gate. kabhi kabhi hota hai. This is unacceptable.",Security/Safety,Low,Negative
"Complaint: bus stop me college bus is always late, just a suggestion. Thanks in advance.",Transport,Low,Positive
"Hello, router is offline. Location: library. just a suggestion. Bahut buri service hai.",Internet/Wifi,Low,Negative
Complaint: waste dumped near hostel. Location: hostel back side. kindly resolve. Awaiting your response.,Garbage,Medium,Neutral
"To whom it may concern, main gate me strangers entering hostel, since 3 days. Very disappointed.",Security/Safety,High,Negative
"To whom it may concern, There is a problem: attendance shortage marked wrongly in the notice board. few hours. Thanks in advance.",Academic Issue,Medium,Positive
"To whom it may concern, lecture hall me professor not clearing doubts, since yesterday. This is unacceptable.",Faculty Issue,Medium,Negative
Complaint: someone blocked my vehicle. Location: parking lot. small problem. Bahut buri service hai.,Parking,Low,Negative
There is a problem: bus did not come today in the bus stop. since yesterday. Frustrated with this.,Transport,Medium,Negative
"To whom it may concern, garbage not collected. Location: hostel back side. small problem. Bahut buri service hai.",Garbage,Low,Negative
"Sir, waste dumped near hostel at canteen area, occasionally. Thanks in advance.",Garbage,Low,Positive
"Dear admin, general complaint. Location: college. few hours. Awaiting your response.",Other,Medium,Neutral
"Hello, strangers entering hostel. Location: main gate. few hours. Ye kya ho raha hai.",Security/Safety,Medium,Negative
There is a problem: washroom is very dirty in the ground floor. please look into it. Frustrated with this.,Cleanliness,Medium,Negative
"Hello, There is a problem: water not coming in the Hostel Block A. for 2 days. Very disappointed.",Water Supply,High,Negative
"Sir, cobwebs everywhere. Location: ground floor. kindly resolve. Thanks in advance.",Cleanliness,Medium,Positive
"Complaint: bus did not come today at campus gate, medical emergency. Frustrated with this.",Transport,Critical,Negative
"To whom it may concern, There is a problem: bullying in class in the sports ground. still not fixed. Otherwise things are good, just fix this.",Harassment,High,Positive
roommate issue. Location: block C. occasionally. Very disappointed.,Hostel Room,Low,Negative
"Sir, There is a problem: cold food served in the mess hall. today morning. This is unacceptable.",Mess/Food,Medium,Negative
"To whom it may concern, keyboard keys not working at admin block, few hours. Appreciate quick action.",Computer/Hardware,Medium,Positive
"Hello, parking is chaotic at parking lot, few hours. Very disappointed.",Parking,Medium,Negative
"Hello, ragging by seniors. Location: sports ground. many students affected. Frustrated with this.",Harassment,High,Negative
"Hello, faculty parking me no parking space, please look into it. Frustrated with this.",Parking,Medium,Negative
"block C me room lock broken, danger to life. Frustrated with this.",Hostel Room,Critical,Negative
There is a problem: professor not clearing doubts in the lecture hall. medical emergency. Please look into it.,Faculty Issue,Critical,Neutral
"Hello, parking lot me fire hazard in lab, minor issue. Appreciate quick action.",Security/Safety,Low,Positive
"Hello, dirty water is coming. Location: washrooms on 2nd floor. many students affected. Frustrated with this.",Water Supply,High,Negative
"To whom it may concern, main road me waste dumped near hostel, since last week. Ye kya ho raha hai.",Garbage,High,Negative
"Hello, There is a problem: dirty water is coming in the Room 305. no response yet. Bahut buri service hai.",Water Supply,High,Negative
"Sir, There is a problem: ragging by seniors in the hostel corridor. since 4 days. Bahut buri service hai.",Harassment,High,Negative
"Dear admin, cobwebs everywhere. Location: corridor. medical emergency. This is unacceptable.",Cleanliness,Critical,Negative
"Sir, There is a problem: faculty is rude in the department. please look into it. Ye kya ho raha hai.",Faculty Issue,Medium,Negative
"Hello, no parking space. Location: faculty parking. kabhi kabhi hota hai. Bahut buri service hai.",Parking,Low,Negative
"Hello, block C me no proper cleaning, minor issue. This is unacceptable.",Hostel Room,Low,Negative
"Sir, hostel back side me waste dumped near hostel, since last week. Frustrated with this.",Garbage,High,Negative
"To whom it may concern, route 5 me bus driver is rude, no response yet. Awaiting your response.",Transport,High,Neutral
"Hello, hostel room 202 me broken bed, assault. This is unacceptable.",Hostel Room,Critical,Negative
food quality is very poor. Location: mess hall. please look into it. Very disappointed.,Mess/Food,Medium,Negative
There is a problem: roommate issue in the block C. kabhi kabhi hota hai. Frustrated with this.,Hostel Room,Low,Negative
"Complaint: faculty parking me parking is chaotic, kabhi kabhi hota hai. Bahut buri service hai.",Parking,Low,Negative
Complaint: wifi not working. Location: library. occasionally. Ye kya ho raha hai.,Internet/Wifi,Low,Negative
college bus is always late. Location: route 5. few hours. This is unacceptable.,Transport,Medium,Negative
"Dear admin, There is a problem: professor not clearing doubts in the class 3B. kindly resolve. Frustrated with this.",Faculty Issue,Medium,Negative
"Hello, system is very slow. Location: admin block. since yesterday. Please look into it.",Computer/Hardware,Medium,Neutral
"Sir, There is a problem: monitor is blank in the office. kindly resolve. Frustrated with this.",Computer/Hardware,Medium,Negative
"To whom it may concern, cobwebs everywhere at ground floor, since yesterday. Very disappointed.",Cleanliness,Medium,Negative
"parking lot me someone blocked my vehicle, today morning. Very disappointed.",Parking,Medium,Negative
Complaint: someone blocked my vehicle. Location: faculty parking. today morning. This is unacceptable.,Parking,Medium,Negative
"Sir, There is a problem: admission form not accepted in the accounts office. still not fixed. Please look into it.",Administrative,High,Neutral
"Complaint: parking lot me bike is stolen from parking, today morning. Otherwise things are good, just fix this.",Security/Safety,Medium,Positive
"To whom it may concern, certificate not issued at accounts office, few hours. Awaiting your response.",Administrative,Medium,Neutral
"Hello, router is offline at classroom, immediately. Frustrated with this.",Internet/Wifi,Critical,Negative
Complaint: roommate issue. Location: warden office. minor issue. Bahut buri service hai.,Hostel Room,Low,Negative
"Hello, Room 305 me water supply cut off, assault. This is unacceptable.",Water Supply,Critical,Negative
"Sir, ground floor washroom me shower head broken, please look into it. Please look into it.",Plumbing,Medium,Neutral
There is a problem: flush not working in the hostel bathroom. still not fixed. Frustrated with this.,Plumbing,High,Negative
Complaint: There is a problem: teacher not coming to class regularly in the lecture hall. kabhi kabhi hota hai. Ye kya ho raha hai.,Faculty Issue,Low,Negative
"Complaint: Hostel Block B me water tap is leaking, kindly resolve. Awaiting your response.",Water Supply,Medium,Neutral
"Complaint: faculty parking me someone blocked my vehicle, kindly resolve. Very disappointed.",Parking,Medium,Negative
"Dear admin, sports ground me harassment in hostel, just a suggestion. Thanks.",Harassment,Low,Neutral
bike is stolen from parking. Location: library. minor issue. Very disappointed.,Security/Safety,Low,Negative
router is offline. Location: hostel room. kindly resolve. Bahut buri service hai.,Internet/Wifi,Medium,Negative
"room not cleaned for days at ground floor, fire. Bahut buri service hai.",Cleanliness,Critical,Negative
"Complaint: toilet is clogged at staff toilet, since last week. Thanks.",Plumbing,High,Neutral
"computer is not turning on at faculty room, please look into it. Please look into it.",Computer/Hardware,Medium,Neutral
"Complaint: room not cleaned for days at corridor, please look into it. Frustrated with this.",Cleanliness,Medium,Negative
"To whom it may concern, staff toilet me shower head broken, just a suggestion. Ye kya ho raha hai.",Plumbing,Low,Negative
"Dear admin, printer paper jam at computer lab, since 3 days. Kindly resolve at earliest.",Computer/Hardware,High,Neutral
"Sir, There is a problem: college bus is always late in the campus gate. since yesterday. This is unacceptable.",Transport,Medium,Negative
waste dumped near hostel. Location: main road. minor issue. Ye kya ho raha hai.,Garbage,Low,Negative
Complaint: There is a problem: computer is not turning on in the admin block. occasionally. Please look into it.,Computer/Hardware,Low,Neutral
"To whom it may concern, bus driver is rude. Location: campus gate. someone is injured. Very disappointed.",Transport,Critical,Negative
"Hello, flush not working at hostel bathroom, since yesterday. This is unacceptable.",Plumbing,Medium,Negative
"To whom it may concern, mess timing is wrong at dining area, since 3 days. Please look into it.",Mess/Food,High,Neutral
"Sir, attendance shortage marked wrongly. Location: portal. for 2 days. Ye kya ho raha hai.",Academic Issue,High,Negative
lecture is too fast. Location: department. few hours. Very disappointed.,Faculty Issue,Medium,Negative
"bus did not come today at bus stop, please look into it. Very disappointed.",Transport,Medium,Negative
"Complaint: parking lot me someone blocked my vehicle, kindly resolve. Bahut buri service hai.",Parking,Medium,Negative
"Complaint: canteen me bullying in class, since 4 days. Frustrated with this.",Harassment,High,Negative
"room lock broken at block C, today morning. Frustrated with this.",Hostel Room,Medium,Negative
Complaint: wallet stolen from library. Location: hostel gate. many students affected. Awaiting your response.,Security/Safety,High,Neutral
"Complaint: ground floor me corridor is filthy, few hours. Very disappointed.",Cleanliness,Medium,Negative
"To whom it may concern, dirty water is coming at Girls Hostel, small problem. This is unacceptable.",Water Supply,Low,Negative
